ANO,SEMANA,TRIMESTRE,LLUVIA,MITAD_ANO,SEMANA_NORM,TOTAL_CASOS_LAG1,TOTAL_CASOS_LAG2,TOTAL_CASOS_LAG3,TOTAL_CASOS_LAG4
2022,34,3,0,0,0.6415094339622641,1435.0,1337.0,1463.0,1301.0
2022,27,3,0,0,0.5094339622641509,1351.0,1245.0,1249.0,1402.0
2023,4,1,0,1,0.07547169811320754,1653.0,1595.0,1760.0,1580.0
2023,28,3,0,0,0.5283018867924528,2347.0,2087.0,2135.0,2089.0
2022,16,2,1,1,0.3018867924528302,868.0,914.0,968.0,893.0
2024,28,3,0,0,0.5283018867924528,7713.0,7150.0,8341.0,8928.0
2024,15,2,1,1,0.2830188679245283,8275.0,6753.0,7219.0,7459.0
2023,8,1,0,1,0.1509433962264151,1496.0,1713.0,1621.0,1492.0
2022,32,3,0,0,0.6037735849056604,1463.0,1301.0,1530.0,1538.0
2024,49,4,0,0,0.9245283018867925,3537.0,3569.0,3614.0,3615.0
2024,26,2,1,1,0.49056603773584906,8341.0,8928.0,8707.0,8905.0
2022,9,1,0,1,0.16981132075471697,781.0,810.0,949.0,920.0
2022,37,3,0,0,0.6981132075471698,1315.0,1388.0,1312.0,1435.0
2022,50,4,0,0,0.9433962264150944,1755.0,1620.0,1688.0,1700.0
2024,41,4,1,0,0.7735849056603774,3818.0,3935.0,4327.0,4520.0
2024,11,1,0,1,0.20754716981132076,6954.0,6753.0,6477.0,6324.0
2022,21,2,1,1,0.39622641509433965,1407.0,1388.0,1233.0,1119.0
2022,15,2,1,1,0.2830188679245283,914.0,968.0,893.0,832.0
2024,23,2,1,1,0.4339622641509434,8905.0,9334.0,8506.0,8087.0
2023,48,4,0,0,0.9056603773584906,3702.0,3502.0,3103.0,2931.0
2023,29,3,0,0,0.5471698113207547,2518.0,2347.0,2087.0,2135.0
2024,32,3,0,0,0.6037735849056604,6122.0,6593.0,7343.0,7320.0
2023,19,2,1,1,0.3584905660377358,2281.0,1735.0,1743.0,1767.0
2024,12,1,0,1,0.22641509433962265,7459.0,6954.0,6753.0,6477.0
2024,10,1,0,1,0.18867924528301888,6753.0,6477.0,6324.0,6039.0
