ANO,SEMANA,TOTAL_CASOS,TOTAL_CASOS_LAG1,TOTAL_CASOS_LAG2,TOTAL_CASOS_LAG3,TOTAL_CASOS_LAG4,TRIMESTRE,LLUVIA,MITAD_ANO,SEMANA_NORM
2022,5,920,823.0,920.0,917.0,1047.0,1,0,1,0.09433962264150944
2022,6,949,920.0,823.0,920.0,917.0,1,0,1,0.11320754716981132
2022,7,810,949.0,920.0,823.0,920.0,1,0,1,0.1320754716981132
2022,8,781,810.0,949.0,920.0,823.0,1,0,1,0.1509433962264151
2022,9,829,781.0,810.0,949.0,920.0,1,0,1,0.16981132075471697
2022,10,835,829.0,781.0,810.0,949.0,1,0,1,0.18867924528301888
2022,11,832,835.0,829.0,781.0,810.0,1,0,1,0.20754716981132076
2022,12,893,832.0,835.0,829.0,781.0,1,0,1,0.22641509433962265
2022,13,968,893.0,832.0,835.0,829.0,1,0,1,0.24528301886792453
2022,14,914,968.0,893.0,832.0,835.0,2,1,1,0.2641509433962264
2022,15,868,914.0,968.0,893.0,832.0,2,1,1,0.2830188679245283
2022,16,1103,868.0,914.0,968.0,893.0,2,1,1,0.3018867924528302
2022,17,1119,1103.0,868.0,914.0,968.0,2,1,1,0.32075471698113206
2022,18,1233,1119.0,1103.0,868.0,914.0,2,1,1,0.33962264150943394
2022,19,1388,1233.0,1119.0,1103.0,868.0,2,1,1,0.3584905660377358
2022,20,1407,1388.0,1233.0,1119.0,1103.0,2,1,1,0.37735849056603776
2022,21,1525,1407.0,1388.0,1233.0,1119.0,2,1,1,0.39622641509433965
2022,22,1526,1525.0,1407.0,1388.0,1233.0,2,1,1,0.41509433962264153
2022,23,1402,1526.0,1525.0,1407.0,1388.0,2,1,1,0.4339622641509434
2022,24,1249,1402.0,1526.0,1525.0,1407.0,2,1,1,0.4528301886792453
2022,25,1245,1249.0,1402.0,1526.0,1525.0,2,1,1,0.4716981132075472
2022,26,1351,1245.0,1249.0,1402.0,1526.0,2,1,1,0.49056603773584906
2022,27,1364,1351.0,1245.0,1249.0,1402.0,3,0,0,0.5094339622641509
2022,28,1538,1364.0,1351.0,1245.0,1249.0,3,0,0,0.5283018867924528
2022,29,1530,1538.0,1364.0,1351.0,1245.0,3,0,0,0.5471698113207547
2022,30,1301,1530.0,1538.0,1364.0,1351.0,3,0,0,0.5660377358490566
2022,31,1463,1301.0,1530.0,1538.0,1364.0,3,0,0,0.5849056603773585
2022,32,1337,1463.0,1301.0,1530.0,1538.0,3,0,0,0.6037735849056604
2022,33,1435,1337.0,1463.0,1301.0,1530.0,3,0,0,0.6226415094339622
2022,34,1312,1435.0,1337.0,1463.0,1301.0,3,0,0,0.6415094339622641
2022,35,1388,1312.0,1435.0,1337.0,1463.0,3,0,0,0.660377358490566
2022,36,1315,1388.0,1312.0,1435.0,1337.0,3,0,0,0.6792452830188679
2022,37,1133,1315.0,1388.0,1312.0,1435.0,3,0,0,0.6981132075471698
2022,38,1247,1133.0,1315.0,1388.0,1312.0,3,0,0,0.7169811320754716
