ANO,SEMANA,TOTAL_CASOS,SEMANA_TEMPORAL,PERIODO_ANIO,ES_LLUVIOSA
2022,1,1047,202201,Q1,0
2022,2,917,202202,Q1,0
2022,3,920,202203,Q1,0
2022,4,823,202204,Q1,0
2022,5,920,202205,Q1,0
2022,6,949,202206,Q1,0
2022,7,810,202207,Q1,0
2022,8,781,202208,Q1,0
2022,9,829,202209,Q1,0
2022,10,835,202210,Q1,0
2022,11,832,202211,Q1,0
2022,12,893,202212,Q1,0
2022,13,968,202213,Q1,0
2022,14,914,202214,Q2,1
2022,15,868,202215,Q2,1
2022,16,1103,202216,Q2,1
2022,17,1119,202217,Q2,1
2022,18,1233,202218,Q2,1
2022,19,1388,202219,Q2,1
2022,20,1407,202220,Q2,1
2022,21,1525,202221,Q2,1
2022,22,1526,202222,Q2,1
2022,23,1402,202223,Q2,1
2022,24,1249,202224,Q2,1
2022,25,1245,202225,Q2,1
2022,26,1351,202226,Q2,1
2022,27,1364,202227,Q3,0
2022,28,1538,202228,Q3,0
2022,29,1530,202229,Q3,0
2022,30,1301,202230,Q3,0
2022,31,1463,202231,Q3,0
2022,32,1337,202232,Q3,0
2022,33,1435,202233,Q3,0
2022,34,1312,202234,Q3,0
2022,35,1388,202235,Q3,0
2022,36,1315,202236,Q3,0
2022,37,1133,202237,Q3,0
2022,38,1247,202238,Q3,0
2022,39,1228,202239,Q3,0
2022,40,1270,202240,Q4,0
2022,41,1282,202241,Q4,1
2022,42,1521,202242,Q4,1
2022,43,1473,202243,Q4,1
2022,44,1555,202244,Q4,1
2022,45,1491,202245,Q4,1
2022,46,1700,202246,Q4,0
2022,47,1688,202247,Q4,0
2022,48,1620,202248,Q4,0
2022,49,1755,202249,Q4,0
2022,50,1672,202250,Q4,0
2022,51,1638,202251,Q4,0
2022,52,1580,202252,Q4,0
2023,1,1760,202301,Q1,0
2023,2,1595,202302,Q1,0
2023,3,1653,202303,Q1,0
2023,4,1492,202304,Q1,0
2023,5,1621,202305,Q1,0
2023,6,1713,202306,Q1,0
2023,7,1496,202307,Q1,0
2023,8,1444,202308,Q1,0
2023,9,1534,202309,Q1,0
2023,10,1513,202310,Q1,0
2023,11,1565,202311,Q1,0
2023,12,1633,202312,Q1,0
2023,13,1592,202313,Q1,0
2023,14,1434,202314,Q2,1
2023,15,1767,202315,Q2,1
2023,16,1743,202316,Q2,1
2023,17,1735,202317,Q2,1
2023,18,2281,202318,Q2,1
2023,19,2250,202319,Q2,1
2023,20,2280,202320,Q2,1
2023,21,2147,202321,Q2,1
2023,22,2349,202322,Q2,1
2023,23,2256,202323,Q2,1
2023,24,2089,202324,Q2,1
2023,25,2135,202325,Q2,1
2023,26,2087,202326,Q2,1
2023,27,2347,202327,Q3,0
2023,28,2518,202328,Q3,0
2023,29,2600,202329,Q3,0
2023,30,2458,202330,Q3,0
2023,31,2652,202331,Q3,0
2023,32,2496,202332,Q3,0
2023,33,2413,202333,Q3,0
2023,34,2545,202334,Q3,0
2023,35,2641,202335,Q3,0
2023,36,2646,202336,Q3,0
2023,37,2620,202337,Q3,0
2023,38,2766,202338,Q3,0
2023,39,2631,202339,Q3,0
2023,40,2883,202340,Q4,0
2023,41,2745,202341,Q4,1
2023,42,3066,202342,Q4,1
2023,43,3099,202343,Q4,1
2023,44,2931,202344,Q4,1
2023,45,3103,202345,Q4,1
2023,46,3502,202346,Q4,0
2023,47,3702,202347,Q4,0
2023,48,3913,202348,Q4,0
2023,49,4164,202349,Q4,0
2023,50,4396,202350,Q4,0
2023,51,4195,202351,Q4,0
2023,52,4215,202352,Q4,0
2024,1,4933,202401,Q1,0
2024,2,4822,202402,Q1,0
2024,3,5083,202403,Q1,0
2024,4,5251,202404,Q1,0
2024,5,5655,202405,Q1,0
2024,6,6039,202406,Q1,0
2024,7,6324,202407,Q1,0
2024,8,6477,202408,Q1,0
2024,9,6753,202409,Q1,0
2024,10,6954,202410,Q1,0
2024,11,7459,202411,Q1,0
2024,12,7219,202412,Q1,0
2024,13,6753,202413,Q1,0
2024,14,8275,202414,Q2,1
2024,15,7822,202415,Q2,1
2024,16,8391,202416,Q2,1
2024,17,7695,202417,Q2,1
2024,18,8202,202418,Q2,1
2024,19,8087,202419,Q2,1
2024,20,8506,202420,Q2,1
2024,21,9334,202421,Q2,1
2024,22,8905,202422,Q2,1
2024,23,8707,202423,Q2,1
2024,24,8928,202424,Q2,1
2024,25,8341,202425,Q2,1
2024,26,7150,202426,Q2,1
2024,27,7713,202427,Q3,0
2024,28,7320,202428,Q3,0
2024,29,7343,202429,Q3,0
2024,30,6593,202430,Q3,0
2024,31,6122,202431,Q3,0
2024,32,5491,202432,Q3,0
2024,33,4900,202433,Q3,0
2024,34,4947,202434,Q3,0
2024,35,4657,202435,Q3,0
2024,36,4607,202436,Q3,0
2024,37,4520,202437,Q3,0
2024,38,4327,202438,Q3,0
2024,39,3935,202439,Q3,0
2024,40,3818,202440,Q4,0
2024,41,3590,202441,Q4,1
2024,42,3987,202442,Q4,1
2024,43,3757,202443,Q4,1
2024,44,3734,202444,Q4,1
2024,45,3615,202445,Q4,1
2024,46,3614,202446,Q4,0
2024,47,3569,202447,Q4,0
2024,48,3537,202448,Q4,0
2024,49,4118,202449,Q4,0
2024,50,4236,202450,Q4,0
2024,51,3808,202451,Q4,0
2024,52,3704,202452,Q4,0
